count,tag,decision,kp_name
3,"烯醇",REDLINK,""
3,"吡啶化学",REPLACE,"吡啶化学"
3,"芳香亲核取代反应",REPLACE,"芳香亲核取代"
3,"芳香性",REPLACE,"芳香性"
3,"碘量法",REDLINK,""
3,"密度公式",REDLINK,""
3,"桥连配体",REDLINK,""
3,"氧化反应",REDLINK,""
3,"生物碱",REDLINK,""
3,"电荷守恒",REDLINK,""
3,"溶剂效应",REDLINK,""
3,"氧化态",REPLACE,"氧化态"
3,"KP-8电子规则",REDLINK,""
3,"KP-负氢转移",REDLINK,""
3,"KP-主族元素化学",REDLINK,""
3,"KP-区域选择性",REDLINK,""
3,"酸碱反应",REDLINK,""
3,"场效应",REDLINK,""
2,"电解池",REPLACE,"电解池"
2,"电子亲合能",REPLACE,"电子亲合能"
2,"σ键",REPLACE,"σ键"
2,"π键",REPLACE,"π键"
2,"键级",REPLACE,"键级"
2,"键角",REPLACE,"键角"
2,"偶极矩",REPLACE,"偶极矩"
2,"NaCl型结构",REPLACE,"NaCl型结构"
2,"CsCl型结构",REPLACE,"CsCl型结构"
2,"配位键",REPLACE,"配位键"
2,"硼族元素",REPLACE,"硼族元素"
2,"Aldol缩合",REPLACE,"Aldol缩合"
2,"σ迁移反应",REPLACE,"σ迁移反应"
2,"光氧化还原催化",REPLACE,"光氧化还原催化"
2,"保护基策略",IGNORE,""
2,"周环反应",REPLACE,"周环反应"
2,"重排反应",REPLACE,"重排反应"
2,"缩合反应",IGNORE,""
2,"不对称合成",IGNORE,""
2,"2-迁移与重排",IGNORE,""
2,"缩醛",IGNORE,""
2,"消除反应",REPLACE,"消除反应"
2,"前线轨道理论",REPLACE,"前线轨道理论"
2,"过渡金属催化",IGNORE,""
2,"诱导效应",REPLACE,"诱导效应"
2,"共振论",REPLACE,"共振论"
2,"氧化还原反应",REPLACE,"氧化还原反应"
2,"酸催化",IGNORE,""
2,"手性",IGNORE,""
2,"对映体",REPLACE,"立体化学"
2,"SN1反应",REPLACE,"SN1反应"
2,"E2反应",REPLACE,"E2反应"
2,"定位效应",REPLACE,"SEAr定位规则"
2,"氧化加成",REPLACE,"氧化加成与还原消除"
2,"高锰酸钾",REPLACE,"锰"
2,"Hess定律",IGNORE,""
2,"反应热",REPLACE,"焓"
2,"一级反应动力学",IGNORE,""
2,"半衰期",REPLACE,"反应级数"
2,"18电子规则",IGNORE,""
2,"晶胞计算",IGNORE,""
2,"顺磁性",IGNORE,""
2,"反等电子体",IGNORE,""
2,"缩聚反应",IGNORE,""
2,"重铬酸钾",IGNORE,""
2,"返滴定",IGNORE,""
2,"离子液体",IGNORE,""
2,"电极电势",IGNORE,""
2,"歧化反应",REPLACE,"Cannizzaro反应"
2,"沉淀转化",IGNORE,""
2,"摩尔质量计算",IGNORE,""
2,"物质的量计算",IGNORE,""
2,"化学式确定",IGNORE,""
2,"晶体密度",IGNORE,""
2,"配合物结构",IGNORE,""
2,"2-加成",REPLACE,"直接加成与共轭加成"
2,"烯丙基正离子",IGNORE,""
2,"聚乙二醇",IGNORE,""
2,"Hofmann消除",IGNORE,""
2,"N2O4分解",IGNORE,""
2,"Kp",IGNORE,""
2,"恒压条件",IGNORE,""
2,"熵变",IGNORE,""
2,"LeChatelier原理",IGNORE,""
2,"水解反应",IGNORE,""
2,"NO",IGNORE,""
2,"价电子组态",IGNORE,""
2,"孤对电子",IGNORE,""
2,"四面体构型",IGNORE,""
2,"FeO4",IGNORE,""
2,"过氧键",IGNORE,""
2,"固体电解质",IGNORE,""
2,"立方晶系",IGNORE,""
2,"四面体空隙",REPLACE,"填隙"
2,"相变",IGNORE,""
2,"Monsanto法",IGNORE,""
2,"面式结构",IGNORE,""
2,"Rh配合物",IGNORE,""
2,"Michael加成",IGNORE,""
2,"缩酮",IGNORE,""
2,"Lewis酸催化",IGNORE,""
2,"pKa",REPLACE,"有机酸碱性"
2,"异头碳效应",IGNORE,""
2,"氨基乙醇",IGNORE,""
2,"乙酸酐",IGNORE,""
2,"胺解",IGNORE,""
2,"醇解",IGNORE,""
2,"选择性反应",IGNORE,""
2,"亲核性",IGNORE,""
2,"二氯亚砜",IGNORE,""
2,"吡啶",REPLACE,"吡啶化学"
2,"构型翻转",IGNORE,""
2,"E2消除",REPLACE,"消除反应"
2,"硫化学",IGNORE,""
2,"分子结构",IGNORE,""
2,"草酸铋",IGNORE,""
2,"热分解反应",IGNORE,""
2,"铋的化合物",IGNORE,""
2,"高压化学",IGNORE,""
2,"元素分析",IGNORE,""
2,"核磁共振",IGNORE,""
2,"内酯",IGNORE,""
2,"电解原理",IGNORE,""
2,"阳极氧化",IGNORE,""
2,"同位素丰度",IGNORE,""
2,"核反应方程式",IGNORE,""
2,"分子构型",IGNORE,""
2,"桥连配位",IGNORE,""
2,"不定方程",IGNORE,""
2,"反应自发性",IGNORE,""
2,"平衡常数温度变化",IGNORE,""
2,"Gibbs-Helmholtz方程",IGNORE,""
2,"Le Chatelier原理",IGNORE,""
2,"晶胞计数",REPLACE,"晶胞投影图分析"
2,"化学式推导",IGNORE,""
2,"原子坐标",IGNORE,""
2,"硫鎓盐",IGNORE,""
2,"扩环重排",IGNORE,""
2,"核磁共振氢谱",REPLACE,"¹H NMR"
2,"产物推断",IGNORE,""
2,"Friedel-Crafts酰基化",IGNORE,""
2,"亲核加成",REPLACE,"炔烃"
2,"硼",IGNORE,""
2,"晶体基本概念",IGNORE,""
2,"常见晶体结构",IGNORE,""
2,"有机酸碱理论",IGNORE,""
2,"KP-1",IGNORE,""
2,"KP-钙钛矿结构",IGNORE,""
2,"KP-碳酸根聚合",IGNORE,""
2,"KP-等电子体原理",IGNORE,""
2,"KP-铬配合物",IGNORE,""
2,"KP-化学式确定",IGNORE,""
2,"KP-电荷平衡",IGNORE,""
2,"KP-平衡常数计算",IGNORE,""
2,"KP-邻位交叉效应",IGNORE,""
2,"KP-HFIP溶剂效应",IGNORE,""
2,"KP-分子构型",IGNORE,""
2,"KP-铍化学",IGNORE,""
2,"KP-离子方程式",IGNORE,""
2,"KP-碘量法",IGNORE,""
2,"KP-镍化学",IGNORE,""
2,"KP-呋喃开环",IGNORE,""
2,"KP-[5+2]环加成",IGNORE,""
2,"KP-环氧开环",IGNORE,""
2,"KP-滴定分析",IGNORE,""
2,"KP-电化学",IGNORE,""
2,"KP-化学方程式配平",IGNORE,""
2,"KP-Lewis结构",IGNORE,""
2,"KP-磁性",IGNORE,""
2,"KP-几何计算",IGNORE,""
2,"亚砜外消旋化",IGNORE,""
2,"取代基效应",IGNORE,""
2,"离子方程式书写",IGNORE,""
2,"吸收光谱",IGNORE,""
2,"线性拟合",IGNORE,""
2,"分布系数",REPLACE,"酸碱平衡"
2,"点阵型式",IGNORE,""
2,"对称性分析",IGNORE,""
2,"配位多面体",REPLACE,"配合物几何构型"
2,"无氧操作",IGNORE,""
2,"实验装置",IGNORE,""
2,"金属-金属键",IGNORE,""
2,"胺与CO2反应",IGNORE,""
2,"碳负离子稳定性",IGNORE,""
2,"可逆反应",IGNORE,""
2,"σ配合物",IGNORE,""
2,"共振稳定化",IGNORE,""
2,"扩散动力学",IGNORE,""
1,"原电池",REPLACE,"原电池"
1,"共价键",REPLACE,"共价键"
1,"键的极性",REPLACE,"键的极性"
1,"金刚石型结构",REPLACE,"金刚石型结构"
1,"立方ZnS型结构",REPLACE,"立方ZnS型结构"
1,"晶格能",REPLACE,"晶格能"
1,"螯合物",REPLACE,"螯合物"
1,"螯合效应",REPLACE,"螯合效应"
1,"无机酸",REPLACE,"无机酸"
1,"稀有气体",REPLACE,"稀有气体"
1,"联烯化学",IGNORE,""
1,"动力学同位素效应",REPLACE,"动力学同位素效应"
1,"呋喃化学",IGNORE,""
1,"Simmon-Smith反应",REPLACE,"Simmon-Smith反应"
1,"炔烃",REPLACE,"炔烃"
1,"有机光化学",REPLACE,"有机光化学"
1,"Giese反应",IGNORE,""
1,"Norrish反应",IGNORE,""
1,"链式反应",IGNORE,""
1,"铜催化",IGNORE,""
1,"Cope重排",REPLACE,"Cope重排"
1,"羟醛缩合",REPLACE,"Aldol缩合"
1,"锂试剂",IGNORE,""
1,"吲哚合成",REPLACE,"Fischer吲哚合成"
1,"硫叶立德",IGNORE,""
1,"软硬酸碱理论",REPLACE,"软硬酸碱理论"
1,"臭氧化反应",REPLACE,"臭氧化反应"
1,"邻二醇切断",REPLACE,"邻二醇切断"
1,"负氢迁移",IGNORE,""
1,"苯炔",REPLACE,"苯炔"
1,"Ene反应",REPLACE,"Ene反应"
1,"Mannich反应",REPLACE,"Mannich反应"
1,"Wittig反应",REPLACE,"Wittig反应"
1,"[2+2]环加成",REPLACE,"[2+2]环加成"
1,"电环化反应",REPLACE,"电环化反应"
1,"Suzuki偶联",REPLACE,"Suzuki偶联"
1,"Fischer吲哚合成",REPLACE,"Fischer吲哚合成"
1,"杂环合成",REPLACE,"杂环合成"
1,"离去基与pKa",REPLACE,"离去基与pKa"
1,"给体-受体相互作用",IGNORE,""
1,"端基效应",IGNORE,""
1,"α效应",IGNORE,""
1,"Grossman规则",IGNORE,""
1,"铬试剂",IGNORE,""
1,"反应机理表示法",IGNORE,""
1,"亲核加成反应",REPLACE,"亲核加成"
1,"互变异构体",IGNORE,""
1,"共轭效应",IGNORE,""
1,"鎓离子",REPLACE,"鎓离子"
1,"亲电加成反应",REPLACE,"亲电加成"
1,"Hückel规则",REPLACE,"芳香性"
1,"休克尔规则",REPLACE,"芳香性"
1,"芳香亲电取代反应",REPLACE,"芳香亲电取代反应"
1,"Beckmann重排",REPLACE,"Beckmann重排"
1,"酰胺",IGNORE,""
1,"共轭二烯",IGNORE,""
1,"逆向分析",IGNORE,""
1,"还原消除",REPLACE,"氧化加成与还原消除"
1,"焰色反应",IGNORE,""
1,"氧化物",REPLACE,"氧化物"
1,"对角线规则",IGNORE,""
1,"硫化物氧化",IGNORE,""
1,"滴定分析",IGNORE,""
1,"物料衡算",IGNORE,""
1,"高锰酸钾滴定",IGNORE,""
1,"生成焓",IGNORE,""
1,"结合度",IGNORE,""
1,"平衡表达式",IGNORE,""
1,"代入计算",IGNORE,""
1,"自由基结构",IGNORE,""
1,"硫的含氧酸",IGNORE,""
1,"自由基链式反应",IGNORE,""
1,"保险粉化学",IGNORE,""
1,"形式电荷",IGNORE,""
1,"构型异构",IGNORE,""
1,"链状结构",IGNORE,""
1,"金属有机化合物",IGNORE,""
1,"复分解反应",REPLACE,"配体交换反应"
1,"环戊二烯基",IGNORE,""
1,"茂合物",IGNORE,""
1,"晶体类型",IGNORE,""
1,"单斜晶系",IGNORE,""
1,"磁性与价态关系",IGNORE,""
1,"血红素",IGNORE,""
1,"低自旋排布",IGNORE,""
1,"八面体场",IGNORE,""
1,"高自旋低自旋",IGNORE,""
1,"离子半径",IGNORE,""
1,"姜-泰勒效应",IGNORE,""
1,"O2分子轨道",IGNORE,""
1,"汞的氨配合物",IGNORE,""
1,"Millon碱",IGNORE,""
1,"配位结构",IGNORE,""
1,"一维配位聚合物",IGNORE,""
1,"氨基配位",IGNORE,""
1,"二维层状结构",IGNORE,""
1,"结构基元",IGNORE,""
1,"亚氨基配位",IGNORE,""
1,"三维骨架结构",IGNORE,""
1,"SiO2类似结构",IGNORE,""
1,"结构推导",IGNORE,""
1,"氟化物结构",IGNORE,""
1,"碘鎓离子",REPLACE,"鎓离子"
1,"Prévost反应",IGNORE,""
1,"水解机理",IGNORE,""
1,"邻二醇合成",IGNORE,""
1,"吲哚酮",IGNORE,""
1,"靛蓝合成",IGNORE,""
1,"逆羟醛缩合",IGNORE,""
1,"异靛蓝",IGNORE,""
1,"聚酰胺",IGNORE,""
1,"对苯二甲酰对苯二胺",IGNORE,""
1,"分子间作用力",REPLACE,"范德华力"
1,"芳环相互作用",IGNORE,""
1,"SN2Ar反应",IGNORE,""
1,"硝基活化效应",IGNORE,""
1,"亲核芳香取代",REPLACE,"Chichibabin反应"
1,"硫酸亚铁铵",IGNORE,""
1,"质量分数计算",IGNORE,""
1,"空白实验",IGNORE,""
1,"电化学",IGNORE,""
1,"电极反应",IGNORE,""
1,"双核配合物",IGNORE,""
1,"铝电池",IGNORE,""
1,"热解反应",IGNORE,""
1,"表面化学",IGNORE,""
1,"多孔材料",IGNORE,""
1,"模板法",IGNORE,""
1,"酸溶",IGNORE,""
1,"镍的化学",IGNORE,""
1,"混合物分离",IGNORE,""
1,"金属与酸反应",IGNORE,""
1,"配位反应",REPLACE,"配合反应"
1,"AlCl₃",IGNORE,""
1,"咪唑盐",IGNORE,""
1,"离子反应",IGNORE,""
1,"铬酸盐",IGNORE,""
1,"沉淀反应",IGNORE,""
1,"酸碱耦合",IGNORE,""
1,"氰化物处理",IGNORE,""
1,"铁化学",IGNORE,""
1,"氰根氧化",IGNORE,""
1,"软酸软碱",IGNORE,""
1,"碘水检验",IGNORE,""
1,"选择性溶解",IGNORE,""
1,"酸碱性质",IGNORE,""
1,"两性氢氧化物",REPLACE,"氢氧化物"
1,"催化剂",IGNORE,""
1,"Bunsen反应",IGNORE,""
1,"Dulong-Petit定律",IGNORE,""
1,"能量守恒",IGNORE,""
1,"比热容",IGNORE,""
1,"假设推演",IGNORE,""
1,"元素周期表",IGNORE,""
1,"相对原子质量",IGNORE,""
1,"锇",IGNORE,""
1,"拜耳法",IGNORE,""
1,"质量分数",IGNORE,""
1,"硅铝酸盐",IGNORE,""
1,"面心立方",IGNORE,""
1,"原子计数",IGNORE,""
1,"锆钨氧化物",IGNORE,""
1,"氧原子化学环境",IGNORE,""
1,"多面体连接",IGNORE,""
1,"化学环境分析",IGNORE,""
1,"阿伏伽德罗常数",IGNORE,""
1,"反馈π键",IGNORE,""
1,"氮气活化",IGNORE,""
1,"乙酸根",IGNORE,""
1,"锡化学",REPLACE,"锡"
1,"硫化物",IGNORE,""
1,"卤化物",IGNORE,""
1,"格氏试剂",REPLACE,"Grignard试剂"
1,"烯烃加成",IGNORE,""
1,"动力学产物",IGNORE,""
1,"热力学产物",IGNORE,""
1,"托品酮",IGNORE,""
1,"四级铵盐",IGNORE,""
1,"共振式",IGNORE,""
1,"有机氧化剂",IGNORE,""
1,"两位负离子",IGNORE,""
1,"高分子化学",IGNORE,""
1,"聚合物单体",IGNORE,""
1,"结构简式",IGNORE,""
1,"高分子水溶性",IGNORE,""
1,"结构决定性质",IGNORE,""
1,"阳离子聚合",IGNORE,""
1,"环氧乙烷开环",IGNORE,""
1,"高分子合成",IGNORE,""
1,"聚合机理",IGNORE,""
1,"有机命名",REPLACE,"系统命名法"
1,"环状胺",IGNORE,""
1,"银量法",REPLACE,"沉淀滴定"
1,"钒化合物",IGNORE,""
1,"VOCl3",IGNORE,""
1,"温度影响",IGNORE,""
1,"体积比",IGNORE,""
1,"物质的量之比",IGNORE,""
1,"极限分析",IGNORE,""
1,"分压趋近值",IGNORE,""
1,"van't Hoff方程",IGNORE,""
1,"平衡移动",IGNORE,""
1,"升温",IGNORE,""
1,"吸热反应",IGNORE,""
1,"分子数增加",IGNORE,""
1,"恒压",IGNORE,""
1,"恒容",IGNORE,""
1,"平衡移动程度",IGNORE,""
1,"体积效应",IGNORE,""
1,"压强效应",IGNORE,""
1,"离子化合物",IGNORE,""
1,"正四面体构型",IGNORE,""
1,"第二周期元素",IGNORE,""
1,"配离子",IGNORE,""
1,"熔沸点",IGNORE,""
1,"原子半径",IGNORE,""
1,"第一电离能",IGNORE,""
1,"性质递变规律",IGNORE,""
1,"保险粉",IGNORE,""
1,"CrVI还原",IGNORE,""
1,"弱酸存在形式",IGNORE,""
1,"pH条件",IGNORE,""
1,"单氟磷酸钠",IGNORE,""
1,"熔融反应",IGNORE,""
1,"磷氧键",IGNORE,""
1,"磷氟键",IGNORE,""
1,"单氟磷酸根",IGNORE,""
1,"磷酸二氢根",IGNORE,""
1,"氟离子释放",IGNORE,""
1,"棕色环反应",IGNORE,""
1,"硝酸根鉴定",IGNORE,""
1,"FeII",IGNORE,""
1,"自旋态",REPLACE,"高自旋与低自旋"
1,"磁矩",IGNORE,""
1,"d区元素",IGNORE,""
1,"NO⁺",IGNORE,""
1,"亚硝酰配体",IGNORE,""
1,"磷氧化物",IGNORE,""
1,"分子式",IGNORE,""
1,"P4O6",IGNORE,""
1,"P4O10",IGNORE,""
1,"最简式与实际分子式",IGNORE,""
1,"P4O8",IGNORE,""
1,"二重旋转轴",IGNORE,""
1,"键长分组",IGNORE,""
1,"键角比较",REPLACE,"键角"
1,"PIII",IGNORE,""
1,"PV",IGNORE,""
1,"HNH键角",IGNORE,""
1,"d电子",IGNORE,""
1,"结构示意图",IGNORE,""
1,"晶胞分析",IGNORE,""
1,"低温相",IGNORE,""
1,"高温相",IGNORE,""
1,"四方晶系",IGNORE,""
1,"三重旋转轴",IGNORE,""
1,"晶系判断",IGNORE,""
1,"ZnS型结构",IGNORE,""
1,"立方最密堆积",IGNORE,""
1,"八面体空隙",REPLACE,"填隙"
1,"空隙占有率",IGNORE,""
1,"堆积方式",IGNORE,""
1,"ABC堆积",IGNORE,""
1,"离子导电性",IGNORE,""
1,"阳离子迁移",IGNORE,""
1,"能垒",IGNORE,""
1,"Ag2HgI4",IGNORE,""
1,"氮杂环丙烷",IGNORE,""
1,"立体专一性",IGNORE,""
1,"分子内亲核取代",IGNORE,""
1,"Wolff重排",IGNORE,""
1,"烯酮",IGNORE,""
1,"光解",IGNORE,""
1,"烷基迁移",IGNORE,""
1,"甲醇加成",IGNORE,""
1,"配合物异构体",IGNORE,""
1,"经式结构",IGNORE,""
1,"电子数",IGNORE,""
1,"价电子构型",IGNORE,""
1,"酰碘水解",IGNORE,""
1,"醋酸合成",IGNORE,""
1,"催化循环",IGNORE,""
1,"酰碘",IGNORE,""
1,"有机反应",IGNORE,""
1,"Cativa法",IGNORE,""
1,"Ir配合物",IGNORE,""
1,"CO取代",IGNORE,""
1,"甲基迁移",IGNORE,""
1,"类比推理",IGNORE,""
1,"季铵盐",IGNORE,""
1,"Robinson增环",IGNORE,""
1,"酯水解",IGNORE,""
1,"脱羧反应",IGNORE,""
1,"氨基保护",REPLACE,"多肽合成"
1,"羟基保护",IGNORE,""
1,"反应条件选择",IGNORE,""
1,"甲酸",IGNORE,""
1,"ZE异构体",IGNORE,""
1,"负超共轭",IGNORE,""
1,"酸碱条件",IGNORE,""
1,"质子化",IGNORE,""
1,"pH控制",IGNORE,""
1,"酯交换",IGNORE,""
1,"分子内重排",IGNORE,""
1,"酰胺稳定性",IGNORE,""
1,"五元环中间体",IGNORE,""
1,"亲核加成消除",IGNORE,""
1,"SN2prime反应",IGNORE,""
1,"烯丙基重排",IGNORE,""
1,"烯烃异构体",IGNORE,""
1,"消除反应选择性",IGNORE,""
1,"水煤气变换反应",IGNORE,""
1,"多硫离子",IGNORE,""
1,"等比数列",IGNORE,""
1,"非氧化还原反应",IGNORE,""
1,"硼酸制备",IGNORE,""
1,"钚的氧化",IGNORE,""
1,"笑气",IGNORE,""
1,"硼氢化钠",IGNORE,""
1,"硼化镍",IGNORE,""
1,"待定系数法",IGNORE,""
1,"氟化物制备",IGNORE,""
1,"锰的氧化态变化",IGNORE,""
1,"磷化氢",IGNORE,""
1,"甲醛",IGNORE,""
1,"硫酸磷",IGNORE,""
1,"均分思想",IGNORE,""
1,"密度",IGNORE,""
1,"价键理论",IGNORE,""
1,"8电子规则",IGNORE,""
1,"P4S5",IGNORE,""
1,"热重分析",IGNORE,""
1,"热分解",IGNORE,""
1,"定量组成",IGNORE,""
1,"摩尔分数",IGNORE,""
1,"化学式",IGNORE,""
1,"电子对",IGNORE,""
1,"密度计算",IGNORE,""
1,"磷硫化物",IGNORE,""
1,"溶剂解反应",IGNORE,""
1,"配体交换",IGNORE,""
1,"磷硫化物制备",IGNORE,""
1,"浓硫酸",IGNORE,""
1,"硫化亚铁",IGNORE,""
1,"多中心π键",IGNORE,""
1,"对苯醌",IGNORE,""
1,"分子内亲核加成",IGNORE,""
1,"磁不等价氢",IGNORE,""
1,"分子内反应",REPLACE,"卤代内酯化反应"
1,"酯基反应性",IGNORE,""
1,"嵌段共聚物",IGNORE,""
1,"聚氨酯",IGNORE,""
1,"异氰酸酯",IGNORE,""
1,"加成聚合",IGNORE,""
1,"二硫键",IGNORE,""
1,"磺酸",IGNORE,""
1,"硫醇",REPLACE,"含硫化合物"
1,"胶束",REPLACE,"胶体与表面活性剂"
1,"疏水作用",REPLACE,"疏水相互作用"
1,"药物包载",IGNORE,""
1,"紫杉醇",IGNORE,""
1,"有机推断",IGNORE,""
1,"内酰胺",IGNORE,""
1,"Claisen缩合",IGNORE,""
1,"离子交换膜",IGNORE,""
1,"阴极还原",IGNORE,""
1,"氨的生成",IGNORE,""
1,"Kolbe电解",IGNORE,""
1,"二氧化碳",IGNORE,""
1,"羧酸根氧化",IGNORE,""
1,"Kolbe反应机理",IGNORE,""
1,"自由基偶联",IGNORE,""
1,"同位素组合",IGNORE,""
1,"加权平均",IGNORE,""
1,"分子离子峰",IGNORE,""
1,"β衰变",IGNORE,""
1,"半衰期公式",IGNORE,""
1,"放射性定年",IGNORE,""
1,"一级反应积分式",IGNORE,""
1,"联立方程",IGNORE,""
1,"Lu-Hf法",IGNORE,""
1,"联立方程求解",IGNORE,""
1,"同位素地球化学",IGNORE,""
1,"初始比值",IGNORE,""
1,"分压",IGNORE,""
1,"分解平衡",IGNORE,""
1,"多重平衡",IGNORE,""
1,"平衡常数表达式",IGNORE,""
1,"分压平衡常数",IGNORE,""
1,"反应耦合",IGNORE,""
1,"平衡常数换算",IGNORE,""
1,"氧化还原方程式配平",IGNORE,""
1,"硅化学",IGNORE,""
1,"氮化硅制备",IGNORE,""
1,"浓硫酸体系",IGNORE,""
1,"无水硫酸铜",IGNORE,""
1,"硼氢化钠还原",IGNORE,""
1,"碲化学",IGNORE,""
1,"硼砂",IGNORE,""
1,"复杂氧化还原配平",IGNORE,""
1,"蛇纹石",IGNORE,""
1,"磁铁矿",IGNORE,""
1,"磷氧化物结构",IGNORE,""
1,"三角双锥构型",IGNORE,""
1,"超价分子",IGNORE,""
1,"过渡金属反应",IGNORE,""
1,"钨/钼化学",IGNORE,""
1,"高温氨还原",IGNORE,""
1,"氮化物",IGNORE,""
1,"锗化学",IGNORE,""
1,"还原剂",IGNORE,""
1,"磷含氧酸",IGNORE,""
1,"钨蓝",IGNORE,""
1,"体心立方",IGNORE,""
1,"单斜晶胞",IGNORE,""
1,"Z值计算",IGNORE,""
1,"晶体对称性",IGNORE,""
1,"分子取向有序",IGNORE,""
1,"热力学相变",IGNORE,""
1,"结构作图",IGNORE,""
1,"EDT类配体",IGNORE,""
1,"桥连硫配位",IGNORE,""
1,"结构异构",REPLACE,"构造异构"
1,"Mn/Fe配位化学",IGNORE,""
1,"三棱柱场",IGNORE,""
1,"d2组态",IGNORE,""
1,"配位合成",IGNORE,""
1,"空气氧化",IGNORE,""
1,"二价锰氧化",IGNORE,""
1,"4π电环化",IGNORE,""
1,"顺旋/对旋",IGNORE,""
1,"给电子基效应",IGNORE,""
1,"烯基给电子",IGNORE,""
1,"银离子催化",IGNORE,""
1,"环丙烷开环",IGNORE,""
1,"阳离子开环",IGNORE,""
1,"一锅煮串联反应",IGNORE,""
1,"多米诺反应",IGNORE,""
1,"分子内捕获",IGNORE,""
1,"碳正离子捕获",IGNORE,""
1,"串联环化",IGNORE,""
1,"三元共聚物",IGNORE,""
1,"EPDM橡胶",IGNORE,""
1,"双烯烃",IGNORE,""
1,"底物结构效应",IGNORE,""
1,"离去基团",REPLACE,"离去基与pKa"
1,"亲核取代活性",IGNORE,""
1,"位阻效应",IGNORE,""
1,"苄基/烯丙基正离子",IGNORE,""
1,"环丙烯正离子芳香性",IGNORE,""
1,"离去能力",IGNORE,""
1,"醇的卤化",IGNORE,""
1,"环丙烯酮",IGNORE,""
1,"Appel反应类比",IGNORE,""
1,"氟化机理",IGNORE,""
1,"环丙烯开环",IGNORE,""
1,"副反应机理",IGNORE,""
1,"决速步",IGNORE,""
1,"含氧量计算",IGNORE,""
